State,Abbrev,Population
ALASKA,AK,731545
ALABAMA,AL,4903185
ARKANSAS,AR,3017804
ARIZONA,AZ,7278717
CALIFORNIA,CA,39512223
COLORADO,CO,5758736
CONNECTICUT,CT,3565287
DELAWARE,DE,973764
FLORIDA,FL,21477737
GEORGIA,GA,10617423
HAWAII,HI,1415872
IOWA,IA,3155070
IDAHO,ID,1787065
ILLINOIS,IL,12671821
INDIANA,IN,6732219
KANSAS,KS,2913314
KENTUCKY,KY,4467673
LOUISIANA,LA,4648794
MASSACHUSETTS,MA,6892503
MARYLAND,MD,6045680
MAINE,ME,1344212
MICHIGAN,MI,9986857
MINNESOTA,MN,5639632
MISSOURI,MO,6137428
MISSISSIPPI,MS,2976149
MONTANA,MT,1068778
NORTH CAROLINA,NC,10488084
NORTH DAKOTA,ND,762062
NEBRASKA,NE,1934408
NEW HAMPSHIRE,NH,1359711
NEW JERSEY,NJ,8882190
NEW MEXICO,NM,2096829
NEVADA,NV,3080156
NEW YORK,NY,19453561
OHIO,OH,11689100
OKLAHOMA,OK,3956971
OREGON,OR,4217737
PENNSYLVANIA,PA,12801989
RHODE ISLAND,RI,1059361
SOUTH CAROLINA,SC,5148714
SOUTH DAKOTA,SD,884659
TENNESSEE,TN,6829174
TEXAS,TX,28995881
UTAH,UT,3205958
VIRGINIA,VA,8535519
VERMONT,VT,623989
WASHINGTON,WA,7614893
WISCONSIN,WI,5822434
WEST VIRGINIA,WV,1792147
WYOMING,WY,578759
